Date,Price,Strong_Verdict,Trade_Allowed,Raw_Verdict,Signals_Agree,Trend_OK,ATR,Signal_Confidence,CE_Score,CE_Confidence,TTS_Score,Final_Score,SIV_Signal,Risk_Penalty,Final_Verdict,Market_Reality,Correct
05/07/2019,110.251,False,False,HOLD,False,True,0.5655569368164788,0.08436699407993445,-0.0807,0.68,0.0880339881598689,-0.005186810000000007,PARTIAL,0.2,HOLD,BEARISH,False
05/08/2019,110.066,False,False,BUY,True,True,0.5460160119076145,0.12620506395448872,0.156,0.8,0.09641012790897743,0.12498580000000001,PARTIAL,0.2,HOLD,BEARISH,False
05/09/2019,109.72,False,False,BUY,True,True,0.5590805436532666,0.09037471804911543,0.0567,0.84,0.12404943609823085,0.07931113,PARTIAL,0.2,HOLD,BEARISH,False
05/10/2019,109.891,,,,,,0.5618698044994975,,-0.0191,,0.05324589880034197,0.0,COHERENT,,SKIP,BEARISH,
05/13/2019,109.229,True,False,BUY,True,True,0.607087163899566,0.18607115339489255,0.245,0.52,0.1271423067897851,0.17741953,PARTIAL,0.2,HOLD,BULLISH,False
05/14/2019,109.65,False,False,BUY,True,True,0.6133422087129566,0.09397966671520976,0.1672,0.8,0.020759333430419517,0.10181719999999998,PARTIAL,0.2,HOLD,BULLISH,False
05/15/2019,109.555,False,False,BUY,True,True,0.6079632475512301,0.07941721758074716,0.1285,0.72,0.030334435161494325,0.08158713999999999,PARTIAL,0.2,HOLD,BULLISH,False
05/16/2019,109.862,,,,,,0.6145014812110656,,0.0471,,-0.03301746205015792,0.0,COHERENT,,SKIP,BULLISH,
05/17/2019,109.95,False,False,BUY,False,True,0.6291012837162574,0.10695405016558655,0.1634,0.76,-0.05050810033117312,0.06947748999999998,PARTIAL,0.2,HOLD,BULLISH,False
05/20/2019,110.037,False,False,SELL,True,True,0.6170877792207566,0.06929999958646602,-0.0786,0.48,-0.05999999917293202,-0.06572897999999999,PARTIAL,0.2,HOLD,BULLISH,False
05/21/2019,110.545,False,False,SELL,True,True,0.6232094086579887,0.08174999347944759,-0.1035,0.56,-0.05999998695889519,-0.07840634999999999,PARTIAL,0.2,HOLD,BEARISH,False
05/22/2019,110.302,True,False,BUY,True,True,0.5955814875035916,0.16455,0.0291,0.6,0.3,0.14860184999999998,PARTIAL,0.2,HOLD,BEARISH,False
05/23/2019,109.5,True,False,SELL,True,True,0.6408372891697778,0.18381014298054268,-0.0908,0.84,-0.2768202859610854,-0.164828,COHERENT,0.0,HOLD,NEUTRAL,True
05/24/2019,109.3,False,False,SELL,True,True,0.6224589839471408,0.06019771296804787,-0.1156,0.72,-0.0047954259360957485,-0.06413715999999998,PARTIAL,0.2,HOLD,NEUTRAL,True
05/27/2019,109.536,True,True,BUY,False,True,0.5777311194208562,0.23018698870076987,0.4126,0.48,-0.0477739774015397,0.17065572,PARTIAL,0.2,BUY,NEUTRAL,False
05/28/2019,109.36,True,True,BUY,False,True,0.5607003034980739,0.22450706605779763,0.421,0.76,-0.028014132115595253,0.21994589999999997,PARTIAL,0.2,BUY,BEARISH,False
05/29/2019,109.591,,,,,,0.5631402630316632,,0.0354,,-0.05999999629908126,0.0,COHERENT,,SKIP,BEARISH,
05/30/2019,109.583,False,False,SELL,True,True,0.552854894627442,0.07194997869248052,-0.0839,0.8,-0.05999995738496103,-0.07039595,PARTIAL,0.2,HOLD,BEARISH,False
05/31/2019,108.27,False,False,BUY,True,True,0.6616742420104497,0.08609641113843283,0.0653,0.68,0.10689282227686565,0.07966092,PARTIAL,0.2,HOLD,NEUTRAL,True
06/03/2019,107.955,True,True,BUY,True,True,0.6529176764090568,0.5192503840615275,0.9137,0.12,0.12480076812305492,0.40784962999999996,PARTIAL,0.2,BUY,BULLISH,True
06/04/2019,108.202,,,,,,0.6377286528878495,,0.3916,,0.03851410209069146,0.0,PARTIAL,,SKIP,NEUTRAL,
06/05/2019,108.265,,,,,,0.6453648325028021,,0.1317,,0.02712892731465645,0.0,PARTIAL,,SKIP,NEUTRAL,
06/06/2019,108.367,True,False,BUY,True,True,0.6345161881690942,0.1855297133590824,0.363,0.4,0.008059426718164765,0.16615784999999997,PARTIAL,0.2,HOLD,BEARISH,False
06/07/2019,108.18,False,False,BUY,True,True,0.6523140297465484,0.05621974600164939,0.0864,0.52,0.02603949200329877,0.05373428,PARTIAL,0.2,HOLD,BULLISH,False
06/10/2019,108.422,False,False,HOLD,False,True,0.6369388257803409,0.05480817793576093,0.0888,0.56,-0.020816355871521842,0.034174159999999995,PARTIAL,0.2,HOLD,NEUTRAL,True
06/11/2019,108.516,False,False,HOLD,False,True,0.6161469823429633,0.047224001594524785,0.0557,0.56,-0.03874800318904957,0.009689240000000002,PARTIAL,0.2,HOLD,NEUTRAL,True
06/12/2019,108.462,,,,,,0.5837273846972355,,-0.1946,,0.3185399708770762,0.0,PARTIAL,,SKIP,NEUTRAL,
06/13/2019,108.367,False,False,BUY,True,True,0.5602970667376043,0.09184999043758002,0.084,0.12,0.09969998087516002,0.08895781,PARTIAL,0.2,HOLD,NEUTRAL,True
06/14/2019,108.55,,,,,,0.5466574578392568,,0.6137,,0.06024958652185145,0.0,PARTIAL,,SKIP,BEARISH,
06/17/2019,108.547,False,False,BUY,True,True,0.5049697967940238,0.07069372137959525,0.0807,0.84,0.06068744275919049,0.069103,PARTIAL,0.2,HOLD,BEARISH,False
06/18/2019,108.511,False,False,BUY,True,True,0.522573823888154,0.07568506975770473,0.0851,1.0,0.06627013951540944,0.074594,PARTIAL,0.2,HOLD,BEARISH,False
06/19/2019,108.084,False,False,HOLD,False,True,0.5499639807030661,0.06967426868353153,-0.0123,0.92,0.12704853736706306,0.0397982,COHERENT,0.0,HOLD,BEARISH,False
06/20/2019,107.349,False,False,HOLD,False,True,0.6037021166093244,0.18420816732823847,0.1665,1.0,-0.2019163346564769,0.031925999999999975,PARTIAL,0.5,HOLD,BEARISH,False
06/21/2019,107.31,False,False,BUY,True,True,0.6185418343947483,0.13099343085015933,0.1739,1.0,0.08808686170031867,0.13667649999999998,PARTIAL,0.2,HOLD,BEARISH,False
06/24/2019,107.33,False,False,SELL,False,True,0.5783362564754495,0.1874099463996865,-0.2919,0.32,0.082919892799373,-0.08004775999999997,PARTIAL,0.2,HOLD,BULLISH,False
06/25/2019,107.2,False,False,BUY,True,True,0.5892247556120558,0.059972931486087046,0.0241,0.28,0.0958458629721741,0.0646822,COHERENT,0.0,HOLD,BULLISH,False
06/26/2019,107.727,,,,,,0.6106614548637816,,0.1497,,-0.03313292093916949,0.0,PARTIAL,,SKIP,BULLISH,
06/27/2019,107.786,True,True,BUY,True,True,0.6013732608819438,0.24025731823841928,0.1712,0.32,0.3093146364768386,0.24770740000000002,COHERENT,0.0,BUY,BULLISH,True
06/28/2019,107.82,,,,,,0.5738568260976841,,0.4593,,0.0662048355675996,0.0,PARTIAL,,SKIP,BULLISH,
07/01/2019,108.316,,,,,,0.5924092492846607,,-0.1871,,0.05999999933144814,0.0,PARTIAL,,SKIP,BEARISH,
07/02/2019,107.855,False,False,HOLD,False,True,0.6114213493800391,0.06289999967682693,-0.0658,0.4,0.05999999935365385,0.000830300000000003,PARTIAL,0.2,HOLD,BULLISH,False
07/03/2019,107.785,,,,,,0.583631836129368,,0.4643,,0.059999999333472775,0.0,PARTIAL,,SKIP,BULLISH,
07/04/2019,107.798,,,,,,0.5275475913121185,,0.276,,0.05999999932396606,0.0,PARTIAL,,SKIP,BULLISH,
07/05/2019,108.46,,,,,,0.5756079124705034,,-0.4455,,0.059999999537526064,0.0,PARTIAL,,SKIP,BULLISH,
07/08/2019,108.729,,,,,,0.5729935241411026,,0.7403,,0.0599999996463893,0.0,PARTIAL,,SKIP,BEARISH,
07/09/2019,108.885,,,,,,0.5357943875889553,,0.771,,0.05999999969890637,0.0,PARTIAL,,SKIP,BEARISH,
07/10/2019,108.32,,,,,,0.5591551359104278,,0.3244,,0.059999999655896974,0.0,PARTIAL,,SKIP,BEARISH,
07/11/2019,108.47,,,,,,0.5783344511223711,,0.1855,,0.059999999629254085,0.0,PARTIAL,,SKIP,BEARISH,
07/12/2019,107.93,,,,,,0.6132231909727222,,0.0,,0.059999999470510684,0.0,COHERENT,,SKIP,NEUTRAL,
07/15/2019,107.863,,,,,,0.5767934321763597,,0.1002,,0.05999999919691061,0.0,PARTIAL,,SKIP,BEARISH,
07/16/2019,108.232,,,,,,0.5754876412195108,,0.389,,0.059999999166644176,0.0,PARTIAL,,SKIP,BEARISH,
07/17/2019,107.958,,,,,,0.5654226223902428,,0.1704,,0.059999998817135344,0.0,PARTIAL,,SKIP,BEARISH,
07/18/2019,107.488,False,False,BUY,True,True,0.6014996060715435,0.07054999524463226,0.0811,0.48,0.05999999048926451,0.06690223,PARTIAL,0.2,HOLD,BULLISH,False
07/19/2019,107.7,False,False,HOLD,False,True,0.6116996585953374,0.24155,0.1831,1.0,-0.3,0.011912749999999975,PARTIAL,0.5,HOLD,BULLISH,False
07/22/2019,107.89,,,,,,0.5821397041159573,,-0.2597,,-0.05999993486923258,0.0,PARTIAL,,SKIP,BULLISH,
07/23/2019,108.219,False,False,BUY,False,True,0.571187743567163,0.2165,-0.133,0.48,0.3,0.07318329999999999,PARTIAL,0.5,HOLD,BULLISH,False
07/24/2019,108.165,False,False,BUY,True,True,0.5426293777582079,0.07714999922248048,0.0943,0.48,0.05999999844496094,0.07309698999999999,PARTIAL,0.2,HOLD,BULLISH,False
07/25/2019,108.623,False,False,SELL,False,True,0.5698787940571135,0.12084999960266889,-0.1817,0.4,0.059999999205337766,-0.05091904999999999,PARTIAL,0.2,HOLD,NEUTRAL,True
07/26/2019,108.66,False,False,SELL,False,True,0.533761621516164,0.12524999969482556,-0.1905,0.4,0.059999999389651115,-0.05484824999999999,PARTIAL,0.2,HOLD,NEUTRAL,True
07/29/2019,108.821,,,,,,0.5305934053140096,,0.0013,,0.0599999994947357,0.0,COHERENT,,SKIP,BEARISH,
07/30/2019,108.59,False,False,HOLD,False,True,0.5290476179388072,0.06954999973060294,-0.0791,1.0,0.059999999461205863,-0.02889424999999999,PARTIAL,0.2,HOLD,BEARISH,False
07/31/2019,108.732,False,False,HOLD,False,True,0.5305079355469671,0.05994999972841049,-0.0599,1.0,0.059999999456820975,-0.01703824999999999,PARTIAL,0.2,HOLD,BEARISH,False
08/01/2019,107.514,False,False,HOLD,False,True,0.7421735441407041,0.06569999887360364,-0.0714,0.4,0.05999999774720729,-0.0016700999999999958,PARTIAL,0.2,HOLD,BEARISH,False
08/02/2019,106.58,False,False,SELL,False,True,0.7817504049219438,0.12708989542653693,0.0445,0.48,-0.20967979085307384,-0.07991894,PARTIAL,0.2,HOLD,BEARISH,False
08/05/2019,105.663,True,False,BUY,True,True,0.828583684265684,0.1796616733699224,0.2184,0.32,0.14092334673984475,0.16669174999999997,PARTIAL,0.2,HOLD,BULLISH,False
08/06/2019,106.384,,,,,,0.9274391930302603,,0.4029,,-0.020896006140754576,0.0,PARTIAL,,SKIP,BEARISH,
08/07/2019,106.11,True,False,BUY,False,True,0.9276473006262259,0.16889612107371593,0.3365,0.72,-0.0012922421474318435,0.18040006,PARTIAL,0.2,HOLD,BEARISH,False
08/08/2019,105.843,True,False,BUY,True,True,0.8856943272093958,0.17423227751064377,0.3311,0.76,0.017364555021287545,0.18878266999999999,PARTIAL,0.2,HOLD,BULLISH,False
08/09/2019,105.66,True,True,BUY,True,True,0.8792017502481435,0.24511649639602498,0.4602,0.96,0.03003299279204997,0.28924421999999994,PARTIAL,0.2,BUY,BULLISH,True
08/12/2019,105.27,,,,,,0.8473081835483911,,0.3322,,0.05608677171823174,0.0,PARTIAL,,SKIP,BULLISH,
08/13/2019,106.607,False,False,BUY,False,True,0.9926004257419387,0.17194999983003087,0.2839,0.56,-0.05999999966006174,0.11223319,PARTIAL,0.2,HOLD,BEARISH,False
08/14/2019,105.792,False,False,BUY,False,True,0.9974537023096817,0.11237087127869255,0.1749,1.0,-0.049841742557385105,0.09144224999999997,PARTIAL,0.2,HOLD,BULLISH,False
08/15/2019,106.13,False,False,BUY,False,True,1.0111265420017235,0.10729999971676588,0.1546,0.8,-0.05999999943353177,0.06328329999999999,PARTIAL,0.2,HOLD,BULLISH,False
08/16/2019,106.36,,,,,,0.9435096697348277,,0.3955,,-0.059999998816289785,0.0,PARTIAL,,SKIP,NEUTRAL,
08/19/2019,106.613,True,False,BUY,False,True,0.8814417137701833,0.15,0.0,0.04,0.3,0.18183,PARTIAL,0.2,HOLD,NEUTRAL,True
08/20/2019,106.27,,,,,,0.837516151934158,,0.4722,,0.05999999775905631,0.0,PARTIAL,,SKIP,BEARISH,
08/21/2019,106.58,True,True,BUY,True,True,0.7826473316762705,0.3964999995159153,0.733,0.44,0.05999999903183057,0.36516669999999996,PARTIAL,0.2,BUY,BEARISH,False
08/22/2019,106.44,,,,,,0.7346943541194347,,0.7065,,0.059999999215983674,0.0,PARTIAL,,SKIP,BEARISH,
08/23/2019,105.39,True,True,BUY,True,True,0.8372684402368422,0.2873996430875411,0.4934,0.8,0.08139928617508224,0.308256,PARTIAL,0.2,BUY,BULLISH,True
08/26/2019,106.098,,,,,,0.94349931487193,,0.2811,,0.05999999811337809,0.0,PARTIAL,,SKIP,BULLISH,
08/27/2019,105.757,,,,,,0.8927660728890062,,0.0,,0.05999999710155724,0.0,COHERENT,,SKIP,BULLISH,
08/28/2019,106.005,,,,,,0.8550639298371386,,0.1063,,0.05999999817207621,0.0,PARTIAL,,SKIP,BULLISH,
08/29/2019,106.5,True,False,BUY,True,True,0.8587887391921882,0.1843499995976253,0.3087,0.72,0.0599999991952506,0.19072598999999996,PARTIAL,0.2,HOLD,BEARISH,False
08/30/2019,106.28,True,False,BUY,True,True,0.8076169072998977,0.13834999965462552,0.2167,0.76,0.05999999930925103,0.14304397,PARTIAL,0.2,HOLD,BEARISH,False
09/02/2019,106.202,,,,,,0.7492679863265785,,0.3118,,0.05999999932539589,0.0,PARTIAL,,SKIP,BULLISH,
09/03/2019,105.957,,,,,,0.739365588149703,,0.2034,,0.059999999185238045,0.0,PARTIAL,,SKIP,BULLISH,
09/04/2019,106.337,False,False,HOLD,False,True,0.72705017639641,0.10814999965897008,-0.1563,0.48,0.059999999317940166,-0.044509589999999995,PARTIAL,0.2,HOLD,BULLISH,False
09/05/2019,107.018,False,False,SELL,False,True,0.7541101528768895,0.11984999978436509,-0.1797,0.4,0.05999999956873018,-0.05002604999999999,PARTIAL,0.2,HOLD,BULLISH,False
09/06/2019,106.89,,,,,,0.7204954658266389,,0.0,,0.05999999962201111,0.0,COHERENT,,SKIP,BULLISH,
09/09/2019,107.21,,,,,,0.6957627370497552,,-0.4236,,0.05892604125016538,0.0,PARTIAL,,SKIP,BULLISH,
09/10/2019,107.512,,,,,,0.6584610387764541,,-0.2269,,0.045197008918551905,0.0,PARTIAL,,SKIP,BULLISH,
09/11/2019,107.815,,,,,,0.6222662336062603,,-0.1928,,0.03191888827788731,0.0,PARTIAL,,SKIP,NEUTRAL,
09/12/2019,108.155,,,,,,0.6314307357920926,,0.0056,,0.0032943989605762752,0.0,COHERENT,,SKIP,BEARISH,
09/13/2019,108.1,False,False,HOLD,True,True,0.5979066376864816,0.041175239881670316,0.0526,0.8,0.029750479763340634,0.0410894,PARTIAL,0.2,HOLD,BEARISH,False
09/16/2019,108.12,True,True,BUY,True,True,0.6128524193282852,0.2716085748301245,0.5153,0.44,0.02791714966024906,0.24968545999999997,PARTIAL,0.2,BUY,NEUTRAL,False
09/17/2019,108.108,,,,,,0.5819387634178472,,-0.0138,,0.029907052343833014,0.0,COHERENT,,SKIP,BEARISH,
09/18/2019,108.398,False,False,HOLD,False,True,0.5612802616288017,0.036375437464577456,-0.0715,0.64,0.0012508749291549257,-0.03624972,PARTIAL,0.2,HOLD,BEARISH,False
09/19/2019,108.019,False,False,BUY,True,True,0.582976226744962,0.07134999983481605,0.0827,1.0,0.05999999966963209,0.07101724999999999,PARTIAL,0.2,HOLD,BEARISH,False
09/20/2019,107.515,False,False,BUY,True,True,0.5836460631789662,0.0783999997286711,0.0968,1.0,0.05999999945734219,0.07972399999999999,PARTIAL,0.2,HOLD,BEARISH,False
09/23/2019,107.492,,,,,,0.5711599214217701,,0.344,,0.05999999893661054,0.0,PARTIAL,,SKIP,BEARISH,
09/24/2019,107.109,False,False,HOLD,False,True,0.6114052652321995,0.29445,0.2889,0.4,-0.3,-0.01973445000000001,PARTIAL,0.5,HOLD,BULLISH,False
09/25/2019,107.748,,,,,,0.6517512298679065,,0.0034,,-0.059999993085904826,0.0,COHERENT,,SKIP,NEUTRAL,
09/26/2019,107.813,False,False,BUY,False,True,0.6393843992188519,0.14534999590296405,0.2307,0.56,-0.05999999180592809,0.08605346999999999,PARTIAL,0.2,HOLD,BULLISH,False
09/27/2019,107.92,True,True,BUY,False,True,0.6289331459896708,0.2539499821781614,0.4479,0.44,-0.05999996435632274,0.17556740999999998,PARTIAL,0.2,BUY,BEARISH,False
09/30/2019,108.069,True,True,BUY,True,True,0.6077420598577165,0.3954,0.4908,0.52,0.3,0.39654480000000003,COHERENT,0.0,BUY,BEARISH,False
10/01/2019,107.751,False,False,BUY,False,True,0.6428431185433555,0.32325,0.3465,1.0,-0.3,0.10219124999999994,PARTIAL,0.5,HOLD,BEARISH,False
10/02/2019,107.176,False,False,BUY,False,True,0.6720640360709075,0.16314999946928457,0.2663,0.64,-0.05999999893856918,0.11101187,PARTIAL,0.2,HOLD,BEARISH,False
10/03/2019,106.882,,,,,,0.6931221645947863,,0.4282,,-0.05999999943059264,0.0,PARTIAL,,SKIP,BULLISH,
10/04/2019,106.88,False,False,BUY,False,True,0.6813725426488153,0.1493499997738332,0.2387,0.44,-0.0599999995476664,0.07977473,PARTIAL,0.2,HOLD,BULLISH,False
10/07/2019,107.22,,,,,,0.6977228702956403,,0.0,,-0.0599999995115571,0.0,COHERENT,,SKIP,BULLISH,
10/08/2019,107.014,,,,,,0.6932264875895552,,0.379,,-0.05999999951950568,0.0,PARTIAL,,SKIP,BULLISH,
10/09/2019,107.072,,,,,,0.6981296225776131,,0.4673,,-0.05999999948754931,0.0,PARTIAL,,SKIP,BULLISH,
10/10/2019,107.938,,,,,,0.7383790062339314,,0.3202,,-0.059999998839901786,0.0,PARTIAL,,SKIP,BULLISH,
10/11/2019,108.36,True,False,BUY,True,True,0.7480618054027415,0.160475595860392,0.0305,0.28,0.29045119172078404,0.168777,PARTIAL,0.2,HOLD,BULLISH,False
10/14/2019,108.371,,,,,,0.7152535646823772,,-0.2079,,0.04452319517276714,0.0,PARTIAL,,SKIP,BULLISH,
10/15/2019,108.844,,,,,,0.723886422724727,,0.0239,,-0.005625435152331944,0.0,COHERENT,,SKIP,BEARISH,
10/16/2019,108.701,,,,,,0.6680348996947643,,0.0243,,0.022404071691536312,0.0,COHERENT,,SKIP,NEUTRAL,
10/17/2019,108.589,True,True,BUY,True,True,0.6441635797354611,0.29058141527342113,0.5387,0.4,0.04246283054684229,0.26192829999999995,PARTIAL,0.2,BUY,NEUTRAL,False
10/18/2019,108.35,True,True,BUY,True,True,0.6093417691040657,0.2204999996953442,0.381,0.72,0.05999999939068838,0.22960169999999996,PARTIAL,0.2,BUY,NEUTRAL,False
10/21/2019,108.6,True,False,BUY,True,True,0.5779628665568564,0.18952076140042598,0.3249,0.76,0.05414152280085195,0.20009127999999998,PARTIAL,0.2,HOLD,NEUTRAL,True
10/22/2019,108.5,True,False,BUY,True,True,0.5446344843492741,0.18439999958340716,0.3088,0.44,0.05999999916681429,0.17092551999999997,PARTIAL,0.2,HOLD,NEUTRAL,True
10/23/2019,108.65,,,,,,0.5366832197693708,,-0.1056,,0.05319952272060091,0.0,PARTIAL,,SKIP,NEUTRAL,
10/24/2019,108.626,,,,,,0.5028587904667882,,0.1352,,0.05804902258117338,0.0,PARTIAL,,SKIP,NEUTRAL,
10/25/2019,108.66,False,False,BUY,True,True,0.47501095173788266,0.13096959381872791,0.2087,0.44,0.05323918763745582,0.12174344999999998,PARTIAL,0.2,HOLD,BULLISH,False
10/28/2019,108.96,False,False,HOLD,True,True,0.46634282483949974,0.03830536042647428,0.0644,0.52,0.012210720852948567,0.03668254,PARTIAL,0.2,HOLD,BEARISH,False
10/29/2019,108.87,,,,,,0.44803044819423415,,0.0244,,0.03319854154194512,0.0,COHERENT,,SKIP,BEARISH,
10/30/2019,108.805,False,False,BUY,True,True,0.46789305510167073,0.07139917274485644,0.0941,0.76,0.04869834548971288,0.07119414,PARTIAL,0.2,HOLD,BEARISH,False
10/31/2019,108.031,False,False,SELL,True,True,0.5339073144214472,0.15695,-0.0139,1.0,-0.3,-0.10833325000000002,PARTIAL,0.2,HOLD,BULLISH,False
11/01/2019,108.15,False,False,SELL,True,True,0.5233863391652541,0.060499999553333655,-0.061,1.0,-0.05999999910666731,-0.057617499999999995,PARTIAL,0.2,HOLD,BULLISH,False
11/04/2019,108.595,,,,,,0.5202681606098869,,-0.2801,,-0.05999999897372632,0.0,PARTIAL,,SKIP,BULLISH,
11/05/2019,109.16,False,False,HOLD,False,True,0.5422324058619022,0.07723175506918573,0.0706,0.44,-0.08386351013837144,-0.008959450000000008,PARTIAL,0.2,HOLD,BEARISH,False
11/06/2019,108.962,False,False,HOLD,False,True,0.5223347517469821,0.08819999361353717,0.1164,0.72,-0.059999987227074336,0.03785027999999999,PARTIAL,0.2,HOLD,BULLISH,False
11/07/2019,109.308,True,False,BUY,True,True,0.5686901181807165,0.18683243419545753,0.0957,0.64,0.27796486839091505,0.1791934,COHERENT,0.0,HOLD,NEUTRAL,True
11/08/2019,109.23,False,False,BUY,True,True,0.5497981024232885,0.07912889045508664,0.1121,0.44,0.046157780910173266,0.07406560999999999,PARTIAL,0.2,HOLD,BEARISH,False
11/11/2019,109.059,False,False,BUY,True,True,0.5291583554335162,0.10949999853594586,0.159,0.48,0.05999999707189173,0.1034607,PARTIAL,0.2,HOLD,BEARISH,False
11/12/2019,108.972,False,False,BUY,True,True,0.5126039080423809,0.1088499936476306,0.1577,0.6,0.059999987295261195,0.10619195,PARTIAL,0.2,HOLD,BEARISH,False
11/13/2019,108.772,False,False,BUY,False,True,0.5137233869700635,0.32494999999999996,0.3499,0.96,-0.3,0.09744076999999994,PARTIAL,0.5,HOLD,BEARISH,False
11/14/2019,108.399,True,True,BUY,False,True,0.5296269353740545,0.21879999952028248,0.3776,1.0,-0.05999999904056495,0.21321799999999996,PARTIAL,0.2,BUY,BULLISH,True
11/15/2019,108.87,True,True,BUY,False,True,0.5283433439908486,0.2193499994815314,0.3787,0.88,-0.05999999896306277,0.19889370999999997,PARTIAL,0.2,BUY,BEARISH,False
11/18/2019,108.664,,,,,,0.5369642314587341,,0.2365,,-0.05999999911144522,0.0,PARTIAL,,SKIP,NEUTRAL,
11/19/2019,108.546,False,False,SELL,True,True,0.5213690005975697,0.06704999962451967,-0.0741,0.84,-0.05999999924903935,-0.06506379,PARTIAL,0.2,HOLD,NEUTRAL,True
11/20/2019,108.452,False,False,SELL,True,True,0.5078531338512273,0.10989999967251043,-0.1598,0.72,-0.05999999934502087,-0.11066245999999999,PARTIAL,0.2,HOLD,BULLISH,False
11/21/2019,108.618,False,False,BUY,False,True,0.4998727160043961,0.1375499996490529,0.2151,0.52,-0.05999999929810581,0.07524057,PARTIAL,0.2,HOLD,BULLISH,False
